payment_amount,attempt_count,success_rate,customer_value,subscription_amount,failure_reason,recovery_priority,recovery_success
499,1,0.80,high,499,insufficient_funds,medium,1
999,1,1.00,high,999,transient_failure,low,1
1499,2,0.75,high,1499,payment_method_issue,medium,1
2499,3,0.00,low,2499,insufficient_funds,high,0
799,1,0.90,high,799,transient_failure,low,1
1999,2,0.50,medium,1999,insufficient_funds,medium,1
2999,3,0.20,low,2999,insufficient_funds,high,0
599,1,0.70,medium,599,payment_method_issue,medium,1
3499,3,0.10,low,3499,insufficient_funds,high,0
1299,2,0.60,medium,1299,transient_failure,medium,1
2499,2,0.80,high,2499,payment_method_issue,low,1
999,3,0.20,low,999,insufficient_funds,high,0
1799,1,0.90,high,1799,transient_failure,low,1
2199,2,0.40,medium,2199,payment_method_issue,medium,1
3999,3,0.15,low,3999,insufficient_funds,high,0
699,1,0.85,high,699,transient_failure,low,1
1599,2,0.55,medium,1599,insufficient_funds,medium,1
2899,3,0.25,low,2899,payment_method_issue,high,0
899,1,0.95,high,899,transient_failure,low,1
2399,2,0.45,medium,2399,insufficient_funds,medium,1
